"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Testing string_transformer function
        with multiple test data.

        Given a string, return a new string that has
        transformed based on the input:

        1. Change case of every character, ie. lower
        case to upper case, upper case to lower case.

        2. Reverse the order of words from the input.

        :return:
        ","0","Testing string_transformer function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing number_of_sigfigs function
        with various test inputs
        :return:
        ","0","Testing number_of_sigfigs function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"","0","Testing solve function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"","0","Testing binary_to_string function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Character Encodings","",""
"
        For this exercise you will create a global flatten method.
        The method takes in any number of arguments and flattens
        them into a single array. If any of the arguments passed in
        are an array then the individual objects within the array
        will be flattened so that they exist at the same level as
        the other arguments. Any nested arrays, no matter how deep,
        should be flattened into the single array result.

        The following are examples of how this function would be
        used and what the expected results would be:

        flatten(1, [2, 3], 4, 5, [6, [7]]) # returns [1, 2, 3, 4, 5, 6, 7]
        flatten('a', ['b', 2], 3, None, [[4], ['c']]) # returns ['a', 'b', 2, 3, None, 4, 'c']
        :return:
        ","0","Testing flatten function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing largestPower function
        :return:
        ","0","Testing largestPower function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing a function named create_city_map where:
            - n defines the size of the city that Bassi needs to hide in,
              in other words the side length of the square grid.

        The function should generate city map with coordinates.
        :return:
        ","0","Testing create_city_map function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        a and b are equal
        :return:
        ","0","a and b are equal","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        You are given two angles (in degrees) of a triangle.
        Find the 3rd.
        :return:
        ","0","You are given two angles -> find the 3rd.","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing 'DefaultList' class: append
        :return:
        ","16","Testing 'DefaultList' class: append","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Object-Oriented Programming","",""
"
        Testing check_for_factor function.

        This function should test if the
        factor is a factor of base.

        Return false if it is not a factor.
        :return:
        ","0","Testing check_for_factor function: positive flow","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing letter_frequency function
        where all chars are in upper case
        :return:
        ","16","All chars are in upper case","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Test with regular string
        :return:
        ","0","Test with regular string","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","Testing array_diff function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Fundamentals","",""
"
        The player rolls the dice and moves the number
        of spaces indicated by the dice two times.

        Pass position and roll and compare the output
        to the expected result
        :return:
        ","0","move function tests","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        3 is not a square number
        :return:
        ","0","Non square numbers (negative)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"","0","Testing take function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        If the wolf is the closest animal to you,
        return ""Pls go away and stop eating my sheep"".
        :return:
        ","0","Wolf in the middle of the queue","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Control Flow","",""
"
        Verify that multiply function
        returns correct result
        :return:
        ","0","'multiply' function verification","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing length function
        where head = None

        The method length, which accepts a linked list
        (head), and returns the length of the list.
        :return:
        ","0","Testing length function where head = None","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing century function
        ","0","Testing century function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Numbers","",""
"
        Testing Warrior class >>> bruce_lee
        ","15","Testing Warrior class >>> bruce_lee","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","OOP","",""
"
        Testing 'count_sheeps' function
        Hint: Don't forget to check for
        bad values like null/undefined
        :return:
        ","16","Testing 'count_sheeps' function: bad input","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
